         Wang 	         Zion 	     Jr.Staff 	   ND 	 40 	47000 	       Master 	  9
           Ngo 	       Manuel 	       Intern 	   PA 	 35 	34000 	    Associate 	  1
      Andersen 	        Malin 	        Staff 	   NY 	 64 	104000 	       Master 	  7
      Korhonen 	        Malin 	     Jr.Staff 	   MA 	 61 	39000 	     Bachelor 	  7
       Saldana 	      Malachi 	       Intern 	   UT 	 24 	15000 	     Bachelor 	  1
      Florence 	      Malachi 	        Staff 	   OR 	 30 	67000 	       Master 	  2
        Ricker 	     Makenzie 	     Jr.Staff 	   ID 	 62 	56000 	     Bachelor 	  5
         Dahan 	         Majd 	      Manager 	   ND 	 29 	168000 	        Ph.D. 	 11
         Dahan 	         Majd 	       Intern 	   CA 	 64 	34000 	     Bachelor 	  1
         Adrei 	         Majd 	        Staff 	   CO 	 53 	97000 	       Master 	  2
         David 	         Majd 	     Jr.Staff 	   MD 	 70 	44000 	    Associate 	 11
         Allen 	     Maitland 	     Jr.Staff 	   MA 	 53 	41000 	         H.S. 	  6
         Petty 	       Maggie 	        Staff 	   MA 	 71 	89000 	       Master 	  8
     Hightower 	      Madyson 	        Staff 	   CT 	 53 	61000 	     Bachelor 	  5
       Harding 	      Madison 	       Intern 	   PA 	 29 	14000 	         H.S. 	  1
         Regan 	      Madilyn 	     Jr.Staff 	   MT 	 26 	39000 	     Bachelor 	  6
         Ennis 	     Madeline 	        Staff 	   PA 	 72 	93000 	       Master 	  5
       Hidalgo 	     Madelene 	        Staff 	   NC 	 77 	93000 	     Bachelor 	 10
         Chang 	    Madeleine 	     Jr.Staff 	   TX 	 71 	54000 	     Bachelor 	 10
        Mojica 	       Maddox 	       Intern 	   AR 	 41 	19000 	    Associate 	  1
       Miranda 	     Maddison 	     Jr.Staff 	   IA 	 37 	55000 	     Bachelor 	  7
      Perfetti 	    Maddalena 	     Jr.Staff 	   IL 	 74 	44000 	    Associate 	  8
          Irby 	      Madalyn 	       Intern 	   FL 	 73 	21000 	    Associate 	  1
       Presley 	         Macy 	       Intern 	   AL 	 58 	25000 	    Associate 	  1
          Redd 	    Mackenzie 	        Staff 	   VA 	 19 	92000 	       Master 	 10
       Overton 	    Mackenzie 	       Intern 	   OH 	 65 	19000 	     Bachelor 	  1
      Harrison 	        Mabel 	       Intern 	   WA 	 29 	17000 	     Bachelor 	  1
          Vale 	        Lynda 	     Jr.Staff 	   CA 	 30 	43000 	    Associate 	 10
       Sherrod 	         Luna 	       Intern 	   TX 	 25 	28000 	       Master 	  1
        Hatton 	         Luna 	        Staff 	   MT 	 68 	103000 	       Master 	  2
        Amador 	         Luna 	     Jr.Staff 	   IA 	 38 	42000 	    Associate 	  9
        Streit 	         Lula 	        Staff 	   AZ 	 33 	82000 	       Master 	  8
         Parks 	         Luke 	        Staff 	   MT 	 39 	73000 	       Master 	 10
      Corcoran 	         Luke 	       Intern 	   NY 	 49 	17000 	         H.S. 	  1
          Choi 	         Luke 	        Staff 	   MT 	 44 	72000 	       Master 	  7
        Morgan 	         Luke 	       Intern 	   RI 	 66 	14000 	         H.S. 	  1
          Hess 	         Luke 	        Staff 	   MD 	 28 	89000 	       Master 	  4
        Mclain 	         Luke 	     Jr.Staff 	   MA 	 65 	52000 	     Bachelor 	  8
         Krall 	        Lukas 	        Staff 	   CT 	 53 	65000 	       Master 	  6
         Feher 	        Lukas 	       Intern 	   NY 	 38 	29000 	     Bachelor 	  1
         Nemec 	        Lukas 	        Staff 	   CA 	 49 	86000 	         H.S. 	  9
         Wooge 	        Lukas 	       Intern 	   CA 	 78 	12000 	         H.S. 	  2
          Kyle 	        Lukas 	       Intern 	   WA 	 49 	28000 	       Master 	  2
        Gruber 	        Lukas 	       Intern 	   TX 	 20 	18000 	    Associate 	  3
        Felder 	        Lukas 	       Intern 	   UT 	 70 	13000 	    Associate 	  1
          Kukk 	        Lukas 	       Intern 	   GA 	 52 	30000 	    Associate 	  1
    Umstaedter 	        Lukas 	     Jr.Staff 	   DE 	 26 	46000 	     Bachelor 	  7
         Heine 	        Lukas 	        Staff 	   CT 	 53 	84000 	        Ph.D. 	  5
       Connery 	        Luise 	     Jr.Staff 	   CA 	 61 	47000 	       Master 	  2
         Minor 	         Luis 	        Staff 	   NY 	 26 	65000 	     Bachelor 	  4
       Abraham 	         Lucy 	        Staff 	   GA 	 23 	87000 	       Master 	  9
       Matthew 	         Lucy 	     Jr.Staff 	   PA 	 22 	54000 	     Bachelor 	  5
        Gruber 	        Lucas 	        Staff 	   WI 	 77 	88000 	     Bachelor 	  8
     Kirschner 	        Lucas 	     Jr.Staff 	   FL 	 23 	50000 	         H.S. 	  5
         Zabel 	        Lucas 	     Jr.Staff 	   HI 	 50 	52000 	     Bachelor 	  4
         Hatch 	        Lucas 	        Staff 	   UT 	 47 	76000 	       Master 	  5
       Worrell 	        Lucas 	     Jr.Staff 	   AZ 	 49 	47000 	       Master 	  2
        Bregar 	        Lucas 	       Intern 	   UT 	 31 	16000 	    Associate 	  1
        Zielke 	        Lucas 	     Jr.Staff 	   TX 	 49 	45000 	     Bachelor 	  6
        Jensen 	        Lucas 	     Jr.Staff 	   MI 	 34 	59000 	     Bachelor 	  3
     Sschwendt 	        Lucas 	        Staff 	   NY 	 70 	100000 	       Master 	  5
       Dimaske 	         Luca 	       Intern 	   NY 	 23 	30000 	    Associate 	  1
        Taylor 	        Loyal 	        Staff 	   PA 	 73 	104000 	       Master 	  4
        Taylor 	      Louvain 	        Staff 	   AR 	 32 	103000 	       Master 	  3
         Huges 	      Louvain 	      Manager 	   NM 	 46 	156000 	       Master 	 13
         Smith 	       Louisa 	       Intern 	   KS 	 48 	35000 	     Bachelor 	  1
          Bell 	       Louisa 	        Staff 	   NY 	 77 	92000 	       Master 	  2
        Houser 	        Louis 	        Staff 	   PA 	 59 	73000 	       Master 	  7
        Treece 	      Louetta 	        Staff 	   TX 	 21 	65000 	       Master 	  7
      Halliday 	       Lorrie 	        Staff 	   CA 	 35 	71000 	       Master 	 10
        Carney 	        Logan 	        Staff 	   TX 	 40 	98000 	        Ph.D. 	  9
        Veltri 	     Lizzette 	       Intern 	   KS 	 72 	13000 	    Associate 	  2
         Teets 	        Livia 	        Staff 	   AL 	 20 	103000 	       Master 	 11
      Labriola 	      Lisetta 	        Staff 	   MA 	 67 	84000 	       Master 	  5
       Canfora 	      Lisetta 	       Intern 	   DE 	 66 	25000 	       Master 	  1
    Galimberti 	         Lisa 	       Intern 	   SC 	 77 	34000 	    Associate 	  1
     Candeloro 	         Lisa 	       Intern 	   CO 	 43 	23000 	    Associate 	  1
        Turner 	       Lionel 	        Staff 	   NY 	 40 	91000 	       Master 	  2
          Bell 	        Linus 	        Staff 	   CA 	 23 	95000 	       Master 	  4
       Edwards 	        Linus 	        Staff 	   VA 	 48 	74000 	       Master 	 10
   Kristiansen 	       Linnea 	     Jr.Staff 	   CT 	 71 	36000 	    Associate 	  6
      Lindberg 	       Linnea 	       Intern 	   GA 	 32 	12000 	         H.S. 	  2
        Haugen 	       Linnea 	     Director 	   MN 	 31 	216000 	       Master 	 10
       Mcbride 	      Lindsay 	       Intern 	   MT 	 23 	31000 	     Bachelor 	  1
        Browne 	      Lindsay 	        Staff 	   MD 	 75 	101000 	     Bachelor 	  6
     Ouellette 	      Lincoln 	        Staff 	   NY 	 19 	71000 	       Master 	  5
     Goldstein 	         Lily 	        Staff 	   CT 	 74 	84000 	       Master 	  6
      Scheerer 	        Lilly 	       Intern 	   MD 	 56 	32000 	     Bachelor 	  1
          Rosa 	        Lilly 	     Jr.Staff 	   NV 	 59 	55000 	     Bachelor 	  6
         Fultz 	      Lillian 	        Staff 	   NY 	 46 	108000 	       Master 	 11
      Quinones 	      Lillian 	        Staff 	   PA 	 62 	72000 	       Master 	  6
       Waldrop 	      Liliana 	     Director 	   FL 	 46 	218000 	       Master 	 10
     Stallings 	         Lila 	        Staff 	   NY 	 26 	84000 	       Master 	  7
      Buchanan 	         Lila 	       Intern 	   DE 	 77 	18000 	     Bachelor 	  1
       Darnell 	         Lila 	       Intern 	   TX 	 40 	35000 	         H.S. 	  1
          Head 	         Lila 	        Staff 	   FL 	 74 	72000 	       Master 	  6
       Tibaldi 	        Lidia 	       Intern 	   NM 	 38 	29000 	       Master 	  1
     Ben-David 	         Lian 	        Staff 	   AL 	 23 	65000 	       Master 	  4
          Levi 	         Lian 	        Staff 	   MA 	 28 	77000 	       Master 	  3
      Mizrachi 	         Lian 	        Staff 	   OH 	 27 	67000 	       Master 	  5
        Fortin 	         Liam 	       Intern 	   MA 	 49 	26000 	     Bachelor 	  1
       Bastedo 	          Lia 	        Staff 	   WA 	 27 	89000 	       Master 	  8
      Phillips 	      Letitia 	       Intern 	   AZ 	 24 	22000 	     Bachelor 	  1
         Clark 	      Letitia 	       Intern 	   WI 	 55 	25000 	    Associate 	  1
        Morgan 	      Letitia 	     Jr.Staff 	   DE 	 28 	40000 	    Associate 	  9
         Bayer 	         Lesa 	       Intern 	   KS 	 70 	29000 	     Bachelor 	  1
          Sipe 	     Leonardo 	        Staff 	   MA 	 58 	60000 	        Ph.D. 	  4
      Dicaprio 	     Leonardo 	      Manager 	   CO 	 62 	190000 	        Ph.D. 	 24
      Fiorelli 	      Leonara 	        Staff 	   NJ 	 55 	64000 	     Bachelor 	 11
    Austerlitz 	         Leon 	       Intern 	   CT 	 31 	32000 	     Bachelor 	  2
       Paisley 	       Lenard 	       Intern 	   TX 	 28 	17000 	    Associate 	  1
      Koskinen 	        Leevi 	       Intern 	   TX 	 53 	32000 	         H.S. 	  2
        Dowell 	         Leah 	       Intern 	   NY 	 62 	15000 	     Bachelor 	  1
       Columbo 	          Lea 	        Staff 	   PA 	 23 	84000 	       Master 	  6
      Mcgregor 	        Layla 	        Staff 	   NC 	 39 	74000 	       Master 	  9
     Smallwood 	        Layla 	        Staff 	   UT 	 31 	64000 	     Bachelor 	  4
        Sample 	        Layla 	     Jr.Staff 	   MT 	 44 	56000 	       Master 	  3
      Borghese 	      Lavinia 	        Staff 	   NV 	 53 	84000 	       Master 	  9
        Nilsen 	        Lauri 	     Jr.Staff 	   HI 	 32 	57000 	     Bachelor 	  1
       Johnsen 	        Lauri 	        Staff 	   MN 	 62 	108000 	     Bachelor 	  9
     Andersson 	        Lauri 	      Manager 	   UT 	 41 	159000 	        Ph.D. 	 17
          Hall 	     Laurence 	       Intern 	   FL 	 29 	17000 	    Associate 	  1
        Newsom 	       Lauren 	        Staff 	   WY 	 27 	98000 	     Bachelor 	  8
         Brunn 	       Lauren 	     Jr.Staff 	   NM 	 77 	51000 	     Bachelor 	  3
            Ng 	       Lauren 	       Intern 	   PA 	 43 	12000 	         H.S. 	  3
        Hovath 	        Laura 	       Intern 	   NY 	 74 	26000 	     Bachelor 	  1
         Patel 	        Laura 	        Staff 	   GA 	 26 	62000 	     Bachelor 	  6
     Albergati 	        Laura 	     Jr.Staff 	   NC 	 28 	38000 	     Bachelor 	  6
        Pinter 	        Laura 	     Jr.Staff 	   VA 	 43 	39000 	    Associate 	  6
          Page 	        Larry 	     Director 	   MI 	 47 	999000 	       Master 	 22
     Mcglasson 	        Laree 	     Jr.Staff 	   MD 	 47 	47000 	       Master 	  5
       Saldana 	         Lane 	       Intern 	   TX 	 31 	29000 	     Bachelor 	  1
        Crosby 	       Landon 	        Staff 	   UT 	 40 	96000 	       Master 	 11
         Adler 	       Landen 	       Intern 	   NV 	 46 	28000 	       Master 	  1
         Hogue 	       Landen 	     Jr.Staff 	   TX 	 64 	37000 	     Bachelor 	 11
       Aguilar 	        Lance 	        Staff 	   NY 	 60 	84000 	        Ph.D. 	  5
        Hogans 	      Lakisha 	     Jr.Staff 	   NY 	 39 	46000 	       Master 	 10
          Kemp 	         Kyra 	     Jr.Staff 	   MN 	 32 	45000 	     Bachelor 	  6
      Robinson 	         Kyne 	       Intern 	   ND 	 33 	23000 	    Associate 	  1
         Boyle 	        Kylie 	        Staff 	   PA 	 43 	98000 	        Ph.D. 	  1
         Saenz 	        Kylie 	        Staff 	   MN 	 60 	67000 	       Master 	 11
     Mcfarland 	        Kyler 	        Staff 	   MA 	 20 	63000 	        Ph.D. 	  9
      Stringer 	        Kyler 	        Staff 	   WI 	 22 	104000 	       Master 	 10
       Mckenna 	      Kyleigh 	     Jr.Staff 	   CT 	 53 	46000 	     Bachelor 	  2
       Bellamy 	      Kyleigh 	        Staff 	   CT 	 21 	73000 	       Master 	 10
            Ho 	        Kylee 	        Staff 	   MT 	 41 	62000 	     Bachelor 	 10
      Swindler 	        Kylee 	     Jr.Staff 	   AZ 	 68 	57000 	     Bachelor 	  8
     Hightower 	        Kylee 	        Staff 	   SC 	 45 	65000 	     Bachelor 	 10
        Godwin 	         Kyle 	       Intern 	   GA 	 43 	12000 	         H.S. 	  2
          Sepp 	    Krzysztof 	        Staff 	   RI 	 35 	99000 	       Master 	  6
        Farkas 	     Kristyna 	     Jr.Staff 	   CA 	 75 	44000 	    Associate 	  9
         Simon 	     Kristina 	     Jr.Staff 	   TX 	 41 	41000 	    Associate 	  7
         Novak 	     Kristina 	       Intern 	   CA 	 22 	26000 	     Bachelor 	  2
          Kask 	     Kristina 	        Staff 	   HI 	 22 	85000 	       Master 	  5
           Gal 	     Kristina 	     Jr.Staff 	   VT 	 41 	56000 	     Bachelor 	  2
        Coutts 	      Kristin 	       Intern 	   WI 	 66 	18000 	    Associate 	  1
     Bengtsson 	     Kristian 	        Staff 	   NM 	 52 	81000 	       Master 	  3
      Pedersen 	     Kristian 	        Staff 	   GA 	 64 	98000 	       Master 	  4
      Mitchell 	     Kristian 	        Staff 	   MA 	 42 	80000 	       Master 	  9
      Nieminen 	     Kristian 	       Intern 	   MA 	 46 	16000 	    Associate 	  1
      Nieminen 	     Kristian 	       Intern 	   NY 	 48 	34000 	    Associate 	  1
      Virtanen 	     Kristian 	       Intern 	   WI 	 53 	22000 	     Bachelor 	  2
         Davis 	         Knox 	        Staff 	   DE 	 74 	87000 	       Master 	  5
          Meek 	     Kingston 	        Staff 	   NV 	 25 	98000 	        Ph.D. 	  9
          Earl 	       Kimora 	        Staff 	   PA 	 72 	76000 	       Master 	  6
        Reaves 	        Kiley 	        Staff 	   MT 	 31 	109000 	       Master 	  6
         Hatch 	        Kiera 	        Staff 	   MD 	 19 	76000 	       Master 	  6
      Erickson 	        Khloe 	        Staff 	   MA 	 65 	62000 	        Ph.D. 	  6
          Mayo 	        Kevin 	       Intern 	   SC 	 36 	29000 	     Bachelor 	  1
         Combs 	        Kevin 	        Staff 	   PA 	 63 	65000 	     Bachelor 	  6
      Alderman 	      Kenneth 	        Staff 	   KS 	 20 	86000 	         H.S. 	 10
         Handy 	      Kenneth 	      Manager 	   WI 	 68 	195000 	       Master 	 10
         Woody 	      Kennedy 	        Staff 	   GA 	 56 	85000 	         H.S. 	  4
         Sousa 	      Kennedy 	     Jr.Staff 	   NV 	 65 	54000 	     Bachelor 	  6
       Jacques 	       Kendra 	       Intern 	   HI 	 46 	26000 	     Bachelor 	  1
       Thacker 	      Kendall 	        Staff 	   NY 	 58 	74000 	       Master 	  7
         Clark 	         Kemp 	     Jr.Staff 	   NV 	 25 	49000 	         H.S. 	  2
      Thompson 	         Kemp 	     Jr.Staff 	   AR 	 38 	48000 	       Master 	  6
          Ward 	         Kemp 	       Intern 	   AR 	 36 	18000 	    Associate 	  1
       Prather 	       Kelsey 	        Staff 	   NY 	 53 	104000 	       Master 	  2
     Wakefield 	        Kelly 	       Intern 	   NY 	 19 	14000 	         H.S. 	  1
          Helm 	        Keith 	     Jr.Staff 	   CT 	 62 	51000 	     Bachelor 	  2
        Allard 	        Keith 	     Jr.Staff 	   WY 	 56 	42000 	    Associate 	  5
      Champion 	        Keira 	     Jr.Staff 	   OH 	 44 	55000 	     Bachelor 	 10
          Good 	       Kaylie 	        Staff 	   MA 	 77 	81000 	     Bachelor 	  2
      Baginski 	      Kaylene 	     Jr.Staff 	   CT 	 50 	41000 	         H.S. 	  3
        Anglin 	     Kayleigh 	        Staff 	   OR 	 67 	99000 	       Master 	  9
      Sheridan 	     Kayleigh 	        Staff 	   NY 	 31 	69000 	       Master 	  9
           Ott 	       Kaylee 	     Jr.Staff 	   CT 	 75 	36000 	    Associate 	  4
        Osorio 	       Kaylee 	     Jr.Staff 	   AR 	 50 	40000 	    Associate 	  8
       Beverly 	     Kaydence 	       Intern 	   FL 	 31 	32000 	     Bachelor 	  1
          Carr 	       Kayden 	       Intern 	   CA 	 76 	31000 	     Bachelor 	  2
       Orourke 	       Kayden 	     Jr.Staff 	   FL 	 67 	55000 	     Bachelor 	 10
         Casey 	       Kayden 	        Staff 	   ID 	 77 	95000 	       Master 	  8
        Alicea 	       Kayden 	        Staff 	   MA 	 23 	71000 	       Master 	  8
     Sepulveda 	        Kayce 	        Staff 	   AL 	 49 	107000 	        Ph.D. 	  1
        Isbell 	        Katie 	       Intern 	   WA 	 31 	22000 	     Bachelor 	  1
       Smedley 	        Katie 	       Intern 	   CT 	 67 	23000 	    Associate 	  1
       Stearns 	      Kathryn 	        Staff 	   AR 	 67 	109000 	     Bachelor 	  7
        Morris 	    Katherine 	        Staff 	   SD 	 35 	60000 	     Bachelor 	  7
          Kidd 	    Katherine 	       Intern 	   GA 	 58 	16000 	    Associate 	  1
          Tamm 	    Katherine 	     Jr.Staff 	   TX 	 63 	36000 	    Associate 	  5
          King 	    Katherine 	       Intern 	   CA 	 62 	30000 	    Associate 	  1
        Kaasik 	     Katerina 	       Intern 	   CA 	 20 	21000 	    Associate 	  1
          Saar 	     Katerina 	        Staff 	   ID 	 71 	86000 	     Bachelor 	  5
       Pokorny 	     Katerina 	        Staff 	   CO 	 70 	60000 	       Master 	  2
        Ivanov 	     Katerina 	     Jr.Staff 	   AR 	 76 	48000 	       Master 	  1
        Takacs 	     Katerina 	     Jr.Staff 	   WY 	 53 	58000 	     Bachelor 	  2
         Feher 	     Katerina 	       Intern 	   NY 	 58 	27000 	       Master 	  1
      Sandoval 	         Kate 	        Staff 	   VT 	 24 	77000 	       Master 	  9
          Magi 	     Karolina 	       Intern 	   CA 	 25 	33000 	         H.S. 	  3
        Nemeth 	     Karolina 	        Staff 	   PA 	 37 	72000 	       Master 	  2
          Saar 	     Karolina 	       Intern 	   CO 	 35 	21000 	    Associate 	  1
      Cisneros 	       Karina 	       Intern 	   UT 	 19 	13000 	         H.S. 	  1
          Chen 	        Karin 	       Intern 	   AL 	 56 	16000 	    Associate 	  1
         Levin 	        Karin 	       Intern 	   CO 	 25 	19000 	    Associate 	  2
      Petersen 	        Karen 	       Intern 	   CA 	 78 	17000 	     Bachelor 	  1
        Newsom 	         Kara 	     Jr.Staff 	   TX 	 35 	40000 	    Associate 	  4
     Christian 	      Kamilah 	        Staff 	   PA 	 43 	97000 	       Master 	  9
   Littlefield 	      Kameron 	     Jr.Staff 	   DE 	 68 	50000 	     Bachelor 	  4
     Jefferson 	      Kameron 	       Intern 	   NY 	 25 	13000 	    Associate 	  1
       Murdock 	       Kailey 	       Intern 	   MA 	 34 	23000 	    Associate 	  1
      Mcarthur 	       Kaiden 	       Intern 	   TX 	 67 	13000 	         H.S. 	  1
          Monk 	          Kai 	        Staff 	   MA 	 55 	100000 	       Master 	  9
         Eller 	          Kai 	       Intern 	   NC 	 25 	17000 	     Bachelor 	  1
        Rhoads 	        Kaden 	     Jr.Staff 	   CA 	 46 	44000 	    Associate 	 10
          Mena 	        Kaden 	       Intern 	   AL 	 60 	13000 	    Associate 	  1
         Paris 	        Kaden 	        Staff 	   OR 	 78 	69000 	       Master 	  9
        Farley 	        Kaden 	        Staff 	   CA 	 38 	80000 	     Bachelor 	  2
       Whipple 	       Justin 	        Staff 	   MT 	 46 	68000 	       Master 	  2
        McCabe 	       Justin 	        Staff 	   GA 	 29 	105000 	       Master 	  9
         Szabo 	       Juozas 	        Staff 	   WY 	 33 	102000 	     Bachelor 	  4
        Pinter 	       Juozas 	     Jr.Staff 	   CO 	 49 	44000 	    Associate 	  7
          Saar 	       Juozas 	     Jr.Staff 	   MT 	 76 	37000 	     Bachelor 	 10
       Jackson 	       Junior 	        Staff 	   DE 	 34 	60000 	       Master 	  5
      Forsythe 	        Junie 	     Jr.Staff 	   ND 	 35 	57000 	         H.S. 	  5
       Clinton 	       Julius 	     Jr.Staff 	   OR 	 70 	53000 	     Bachelor 	  1
         Still 	        Julio 	     Jr.Staff 	   CT 	 19 	41000 	         H.S. 	  9
       Bassham 	     Julietta 	       Intern 	   MD 	 70 	18000 	     Bachelor 	  1
     Underwood 	        Julie 	        Staff 	   NY 	 77 	99000 	       Master 	  8
      Jacobsen 	        Julie 	        Staff 	   NY 	 25 	64000 	     Bachelor 	  5
      Jacobsen 	        Julie 	        Staff 	   CA 	 43 	94000 	       Master 	  8
        Seaman 	        Julie 	     Jr.Staff 	   NY 	 28 	36000 	    Associate 	  4
         Scott 	     Julianne 	        Staff 	   AL 	 22 	82000 	       Master 	  6
        Harris 	     Julianne 	        Staff 	   AZ 	 22 	77000 	       Master 	  3
         Hartl 	      Juliane 	     Jr.Staff 	   PA 	 65 	43000 	     Bachelor 	  7
         Myles 	      Juliana 	     Jr.Staff 	   AR 	 72 	50000 	     Bachelor 	  1
         Terry 	      Juliana 	     Jr.Staff 	   PA 	 52 	50000 	     Bachelor 	  1
          West 	      Juliana 	     Jr.Staff 	   MD 	 18 	42000 	    Associate 	  2
        Bryant 	      Juliana 	        Staff 	   MN 	 62 	73000 	       Master 	  8
        Rainer 	       Julian 	     Jr.Staff 	   CO 	 58 	47000 	       Master 	 11
         Biton 	       Julian 	        Staff 	   MN 	 47 	72000 	       Master 	  4
  Krummenacher 	       Julian 	        Staff 	   MA 	 22 	76000 	       Master 	  1
       Lambert 	       Julian 	     Jr.Staff 	   CA 	 26 	49000 	       Master 	  2
     Pelletier 	       Julian 	        Staff 	   MA 	 28 	108000 	       Master 	  2
        Taylor 	       Julian 	        Staff 	   CA 	 18 	68000 	       Master 	  5
         Gabai 	       Julian 	        Staff 	   CA 	 65 	96000 	     Bachelor 	  6
        Peretz 	       Julian 	        Staff 	   PA 	 19 	93000 	       Master 	  5
       Rodgers 	        Julia 	     Jr.Staff 	   PA 	 41 	45000 	     Bachelor 	  2
       Cardona 	        Julia 	        Staff 	   SC 	 65 	92000 	     Bachelor 	  8
      Koskinen 	         Juho 	        Staff 	   PA 	 51 	102000 	       Master 	  1
    Gustafsson 	         Juho 	        Staff 	   MT 	 39 	70000 	       Master 	  6
      Olofsson 	         Juho 	     Jr.Staff 	   AL 	 19 	49000 	       Master 	  9
       Roberts 	       Judson 	     Jr.Staff 	   GA 	 23 	53000 	     Bachelor 	  3
         Evans 	       Judith 	        Staff 	   TX 	 44 	69000 	       Master 	  5
      Williams 	       Judith 	       Intern 	   CA 	 20 	26000 	     Bachelor 	  1
        Walker 	       Judith 	        Staff 	   CO 	 37 	77000 	       Master 	  8
         Green 	       Judith 	        Staff 	   VT 	 35 	88000 	       Master 	  8
         Scott 	       Judith 	        Staff 	   NM 	 73 	93000 	       Master 	  9
          Owen 	        Judah 	       Intern 	   ND 	 65 	29000 	     Bachelor 	  1
          Bull 	         Juan 	        Staff 	   GA 	 30 	76000 	       Master 	 11
          Amos 	         Juan 	        Staff 	   CT 	 61 	99000 	       Master 	  9
      Ratcliff 	        Josue 	     Jr.Staff 	   CO 	 31 	59000 	     Bachelor 	  9
         Lyman 	        Josue 	        Staff 	   MT 	 59 	70000 	       Master 	  6
        Jewell 	        Josie 	        Staff 	   MD 	 31 	96000 	       Master 	  5
         Gregg 	       Josiah 	        Staff 	   CA 	 67 	87000 	       Master 	  9
          Todd 	       Josiah 	        Staff 	   NY 	 48 	79000 	       Master 	  7
      Bartlett 	       Joshua 	       Intern 	   CA 	 54 	22000 	     Bachelor 	  1
      Harrison 	       Joseph 	        Staff 	   MA 	 50 	75000 	       Master 	  5
        Harley 	       Joseph 	        Staff 	   DE 	 43 	68000 	       Master 	 11
       Mullins 	      Joselyn 	       Intern 	   CA 	 55 	23000 	    Associate 	  1
          Goff 	      Joselyn 	     Jr.Staff 	   NV 	 43 	38000 	    Associate 	  3
        Lester 	         Jose 	     Jr.Staff 	   NY 	 20 	48000 	       Master 	  3
         Lyman 	        Jorge 	        Staff 	   NY 	 39 	63000 	         H.S. 	  4
          Muse 	        Jorge 	        Staff 	   CA 	 48 	79000 	     Bachelor 	  8
          Rush 	       Jordan 	        Staff 	   HI 	 39 	99000 	       Master 	  7
         Bowen 	       Jordan 	       Intern 	   MN 	 31 	26000 	     Bachelor 	  1
      Levesque 	       Jordan 	        Staff 	   AL 	 25 	60000 	       Master 	 11
         Haley 	       Jordan 	     Jr.Staff 	   NM 	 52 	54000 	     Bachelor 	  5
         Geary 	       Jordan 	        Staff 	   MN 	 37 	102000 	       Master 	  6
          High 	       Jordan 	        Staff 	   OH 	 32 	82000 	       Master 	  8
      Pedersen 	        Joona 	        Staff 	   NY 	 36 	102000 	       Master 	  7
       Persson 	        Joona 	        Staff 	   AL 	 56 	85000 	       Master 	  6
     Bengtsson 	        Joona 	     Jr.Staff 	   CO 	 19 	57000 	     Bachelor 	 11
     Halvorsen 	        Joona 	        Staff 	   PA 	 62 	62000 	        Ph.D. 	  3
      Northrup 	        Jonie 	     Jr.Staff 	   NY 	 19 	39000 	     Bachelor 	  9
        Wright 	     Jonathan 	        Staff 	   ND 	 19 	78000 	       Master 	  3
         Vigil 	     Jonathan 	        Staff 	   ID 	 59 	83000 	     Bachelor 	 10
         Roper 	     Jonathan 	        Staff 	   CO 	 37 	109000 	       Master 	  8
    Schrimsher 	     Jonathan 	       Intern 	   CT 	 53 	21000 	    Associate 	  1
    Stenhammar 	        Jonas 	     Jr.Staff 	   MT 	 47 	52000 	     Bachelor 	  9
       Weidner 	        Jonas 	       Intern 	   ID 	 22 	21000 	    Associate 	  1
     Kappmeyer 	        Jonas 	       Intern 	   KS 	 57 	15000 	     Bachelor 	  1
          Luik 	        Jonas 	        Staff 	   PA 	 77 	74000 	       Master 	  6
       Rochkes 	        Jonas 	     Director 	   CT 	 56 	203000 	       Master 	 19
          Dill 	        Jonas 	        Staff 	   OH 	 56 	107000 	       Master 	  5
         Wiley 	        Jonah 	       Intern 	   GA 	 32 	15000 	     Bachelor 	  1
      Buchanan 	        Jonah 	     Jr.Staff 	   ID 	 19 	48000 	       Master 	  2
        Lehrer 	          Jon 	        Staff 	   ND 	 68 	74000 	       Master 	  4
          Fish 	         John 	     Jr.Staff 	   CT 	 44 	46000 	       Master 	 11
       Barbour 	         Joel 	       Intern 	   DE 	 22 	27000 	       Master 	  1
       Peralta 	         Joel 	        Staff 	   NV 	 56 	74000 	       Master 	 11
    Harrington 	         Joel 	     Jr.Staff 	   NY 	 66 	40000 	    Associate 	  6
      Thompson 	      Jocelyn 	        Staff 	   NM 	 39 	93000 	     Bachelor 	  3
       Barbour 	      Jocelyn 	        Staff 	   KY 	 37 	64000 	     Bachelor 	 11
        Watson 	      Jocelyn 	        Staff 	   MN 	 28 	83000 	       Master 	 10
        Mclain 	      Joaquin 	     Jr.Staff 	   CA 	 22 	44000 	     Bachelor 	  8
          Burk 	       Joanna 	      Manager 	   ND 	 19 	150000 	       Master 	  9
           Lee 	        Joann 	     Jr.Staff 	   MA 	 31 	56000 	     Bachelor 	 10
         Eller 	        Jimmy 	        Staff 	   MA 	 32 	60000 	       Master 	  5
          Rosa 	      Jillian 	     Jr.Staff 	   PA 	 56 	46000 	       Master 	  4
       Crocker 	      Jillian 	        Staff 	   NY 	 69 	90000 	       Master 	  7
         Smith 	         Jill 	        Staff 	   WI 	 67 	106000 	       Master 	  4
     Underwood 	        Jesus 	        Staff 	   PA 	 70 	67000 	       Master 	 11
